plant,oc_ext_12m,lineas_12m,proveedores_12m,ult_oc_ext,oc_ext_24m,traslados_12m,ventana_desde,ventana_hasta,extraido
M950,0,0,0,,0,275,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
MGAM,0,0,0,,0,45,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
N001,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
N002,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
N003,109,841,13,2026-09-23,198,206,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
N004,0,0,0,,0,4,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
N005,118,884,12,2026-09-24,201,230,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
N006,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
N100,0,0,0,,0,12,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
OGAM,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
PGAM,2,4,1,2025-12-01,21,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
RFCD,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
RFSA,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
RFTD,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
RFTG,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
RGAM,317,949,19,2026-09-17,700,20,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
S001,2,3,2,2026-01-09,3,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
S004,935,5884,23,2026-09-24,1748,1313,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
S005,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
S006,5,118,4,2026-09-18,7,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
S007,1,9,1,2026-09-18,3,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
S008,2,46,2,2026-09-23,3,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
S011,6,20,4,2026-09-22,10,15,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
S012,4,7,2,2026-07-17,9,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
S014,2,3,2,2026-09-03,4,1,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
S020,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
S050,32,224,1,2026-09-24,32,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
VCOR,398,768,13,2026-09-24,640,53,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
VNOR,206,282,6,2026-09-24,334,50,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
VPRO,200,369,6,2026-09-23,276,14,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
ZGAM,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
